influenza_num,ave_C,min_C,max_C,ave_ws,ave_rh,ave_hpa,daily_precipitation,SO2,NO2,CO,PM2_5,PM10,O38h,AQI
429,0.5,-3.5,5.7,3.5,36,972.6,0.0,76.0,70.0,2.335,99.0,194.0,37.0,130.0
535,-2.4,-3.3,1.3,3.0,30,986.1,0.0,68.0,36.0,1.559,58.0,123.0,35.0,87.0
402,-5.2,-6.7,-3.2,3.5,22,991.8,0.0,49.0,30.0,1.465,35.0,68.0,47.0,59.0
430,-5.7,-7.9,-3.1,2.5,28,982.3,0.0,142.0,53.0,2.404,117.0,183.0,24.0,153.0
303,-4.1,-7.7,1.0,1.2,40,980.0,0.0,170.0,86.0,3.409,212.0,296.0,26.0,262.0
394,-4.2,-8.0,-0.6,1.0,53,979.1,0.0,121.0,100.0,4.206,309.0,414.0,23.0,359.0
485,-0.6,-4.8,5.1,1.1,46,975.4,0.0,126.0,109.0,4.374,314.0,418.0,26.0,364.0
456,-0.9,-3.8,3.1,1.0,51,980.2,0.0,127.0,95.0,4.131,314.0,423.0,30.0,364.0
486,-2.1,-6.2,2.6,2.4,40,980.2,0.0,114.0,71.0,3.11,180.0,279.0,39.0,230.0
437,-2.4,-7.5,3.7,1.0,49,977.3,0.0,156.0,108.0,3.673,279.0,402.0,27.0,329.0
438,1.8,-4.9,10.5,2.2,38,978.6,0.0,108.0,86.0,3.319,192.0,306.0,55.0,242.0
347,-0.7,-6.8,6.3,1.4,39,973.7,0.0,149.0,92.0,3.576,214.0,336.0,32.0,264.0
361,0.1,-6.3,7.8,1.1,46,972.4,0.0,127.0,104.0,4.445,304.0,420.0,31.0,354.0
572,-0.2,-6.4,5.2,1.8,50,974.8,0.0,153.0,112.0,4.821,388.0,520.0,30.0,426.0
509,5.1,0.4,10.4,2.1,35,977.0,0.0,104.0,54.0,2.309,82.0,245.0,59.0,148.0
428,2.7,-1.7,9.7,1.4,38,980.1,0.0,109.0,75.0,3.53,148.0,289.0,46.0,198.0
392,1.0,-2.8,5.4,3.1,39,985.6,0.0,126.0,76.0,3.481,164.0,278.0,43.0,214.0
497,-0.7,-4.5,4.3,1.9,50,979.0,0.0,173.0,103.0,4.617,258.0,383.0,33.0,308.0
365,-1.9,-4.8,0.8,1.4,59,971.6,0.0,172.0,112.0,5.77,390.0,513.0,25.0,427.0
345,0.2,-1.4,3.1,1.0,84,977.7,0.9,98.0,80.0,4.437,284.0,371.0,35.0,334.0
502,2.7,-1.2,7.4,1.7,55,980.3,0.0,78.0,50.0,2.374,67.0,108.0,67.0,90.0
530,2.8,-0.9,8.0,2.0,60,978.4,0.0,91.0,65.0,3.088,134.0,188.0,57.0,178.0
531,1.9,-3.8,9.3,1.2,63,972.6,0.0,98.0,92.0,3.731,213.0,286.0,44.0,273.0
451,5.0,1.1,9.4,1.9,22,980.0,0.0,59.0,47.0,2.276,42.0,106.0,78.0,78.0
428,4.2,-4.4,12.7,2.9,32,974.4,0.0,78.0,64.0,3.205,101.0,168.0,59.0,133.0
280,5.8,-0.3,13.3,1.9,33,975.9,0.0,114.0,77.0,3.578,127.0,197.0,51.0,168.0
297,3.3,-2.8,10.0,1.1,40,977.9,0.0,134.0,93.0,4.104,173.0,269.0,38.0,223.0
515,3.7,-1.4,10.2,0.8,43,972.4,0.0,165.0,87.0,4.747,245.0,314.0,33.0,295.0
422,4.0,-2.9,11.9,2.3,48,972.2,0.0,121.0,86.0,4.958,295.0,374.0,51.0,345.0
451,5.3,1.4,9.8,2.2,55,970.2,0.0,156.0,98.0,4.917,359.0,463.0,38.0,406.0
414,4.5,0.3,10.2,2.9,76,970.2,0.0,91.0,78.0,4.519,297.0,368.0,35.0,347.0
334,4.2,-0.8,10.1,1.6,72,976.0,0.0,101.0,89.0,5.485,381.0,471.0,27.0,421.0
294,3.4,-0.7,6.5,2.0,72,977.0,0.0,86.0,79.0,5.268,310.0,382.0,29.0,360.0
278,2.7,1.0,5.8,1.8,87,969.3,5.5,58.0,60.0,4.48,185.0,212.0,28.0,235.0
449,1.9,1.0,2.8,2.8,94,972.5,0.0,53.0,52.0,4.406,138.0,169.0,20.0,183.0
303,4.1,0.7,10.0,2.4,76,974.7,0.0,82.0,57.0,4.344,114.0,146.0,45.0,149.0
396,4.4,0.1,8.5,1.7,80,972.4,0.0,95.0,67.0,5.01,265.0,311.0,30.0,315.0
259,2.4,-0.3,6.5,3.0,76,979.6,0.0,72.0,50.0,4.039,152.0,196.0,36.0,202.0
309,-0.6,-3.4,3.2,1.6,84,984.2,1.6,67.0,49.0,3.697,126.0,148.0,39.0,166.0
162,2.0,-0.9,7.9,1.4,84,975.7,0.0,112.0,52.0,4.152,260.0,304.0,57.0,310.0
212,1.7,-2.9,7.5,1.6,82,971.1,0.0,78.0,49.0,4.402,499.0,619.0,70.0,500.0
241,-0.2,-0.7,5.0,2.7,90,980.5,2.0,48.0,38.0,4.131,242.0,283.0,35.0,292.0
